X,Y,Z,K
-0.53119,7.8862,-1.7979,8.0
-0.14982,8.3084,-1.2667,8.0
-0.10896,8.8124,-0.99429,8.0
-0.27241,9.0439,-0.50395,8.0
-0.42223,9.3027,-0.19068,8.0
-0.8036,10.038,-0.23155,8.0
-1.4574,10.692,-0.42223,8.0
-1.7298,10.924,-0.69464,8.0
-1.6481,11.496,-0.61292,8.0
-0.69464,12.871,-0.10896,8.0
0.31327,12.258,-0.61292,8.0
0.14982,11.073,-2.0703,8.0
0.34051,9.616,-4.2087,8.0
1.5391,8.54,-3.7592,8.0
3.1054,8.431,-3.4051,8.0
2.4517,9.1937,-2.6423,8.0
0.72188,9.616,-1.7979,8.0
-0.27241,9.2755,-1.6889,8.0
-0.69464,8.9213,-1.3757,8.0
-0.10896,8.4719,-0.91256,8.0
0.42223,8.3901,-1.0351,8.0
0.23155,8.4991,-1.076,8.0
-0.040861,8.54,-0.84446,8.0
-0.27241,8.54,-0.57205,8.0
-0.50395,8.6625,-0.14982,8.0
-0.38137,9.112,0.040861,8.0
-0.19068,9.7249,0.040861,8.0
-0.23155,10.46,-0.29965,8.0
-0.50395,11.073,-0.65378,8.0
-0.76274,11.686,-0.53119,8.0
-0.8036,12.34,-0.040861,8.0
0.23155,12.108,-1.0351,8.0
1.076,11.264,-3.1054,8.0
0.50395,9.3027,-3.0646,8.0
-0.53119,8.1995,-2.3699,8.0
-1.076,8.2812,-3.5958,8.0
-0.76274,8.9213,-3.8682,8.0
-0.19068,10.038,-3.0646,8.0
0.46309,10.42,-2.0703,8.0
0.88532,9.7249,-1.4574,8.0
0.72188,8.8532,-1.0351,8.0
0.34051,8.1177,-1.2258,8.0
0.081722,7.8181,-1.6889,8.0
-0.10896,8.0088,-1.8387,8.0
-0.23155,8.6217,-1.4165,8.0
-0.23155,9.0439,-1.0351,8.0
-0.29965,9.2346,-0.76274,8.0
-0.50395,9.3027,-0.42223,8.0
-0.69464,9.4253,-0.23155,8.0
-0.88532,9.8066,-0.50395,8.0
-1.1169,10.188,-0.95342,8.0
-1.3076,10.311,-1.1169,8.0
-1.757,10.992,-0.72188,8.0
-1.6889,12.408,0.27241,8.0
-0.65378,12.449,0.10896,8.0
0.23155,11.754,-1.5255,8.0
0.42223,9.1937,-4.3313,8.0
1.3757,7.8862,-4.7126,8.0
2.7922,8.4719,-3.909,8.0
2.152,9.8884,-2.6832,8.0
1.3076,10.692,0.50395,16.0
1.9205,14.901,0.99429,16.0
1.5391,15.554,1.4982,16.0
-1.1441,14.982,-0.34051,16.0
-2.3699,15.323,1.2258,16.0
-1.4574,12.34,2.6423,16.0
-0.27241,9.9565,1.076,16.0
1.5663,10.311,0.42223,16.0
0.50395,11.182,-0.46309,16.0
-1.757,10.038,-1.7979,16.0
-1.3076,7.4367,-1.3076,16.0
-0.081722,4.9033,-0.91256,16.0
0.23155,3.1054,-0.34051,16.0
0.65378,2.4517,0.040861,16.0
1.1169,3.5958,0.10896,16.0
1.6072,6.5514,-0.27241,16.0
1.6889,11.414,-1.3757,16.0
1.3348,16.93,-0.88532,16.0
0.76274,16.44,1.7979,16.0
1.5391,13.443,4.018,16.0
0.84446,16.93,0.99429,16.0
0.040861,13.293,-4.018,16.0
-0.53119,8.6217,-1.7298,16.0
1.0351,11.373,0.31327,16.0
3.7592,11.305,-1.0351,16.0
4.0589,8.0496,-0.91256,16.0
1.6481,5.2847,-0.27241,16.0
0.92618,4.7126,0.081722,16.0
0.95342,8.0769,-0.040861,16.0
1.1441,12.599,0.081722,16.0
0.95342,16.889,1.3348,16.0
0.69464,14.097,2.7922,16.0
-0.42223,14.86,3.0237,16.0
-1.185,16.93,-1.076,16.0
-0.76274,10.27,-3.0646,16.0
-0.29965,9.0848,1.1169,16.0
2.4925,11.727,0.95342,16.0
5.2166,12.068,-0.8036,16.0
2.7241,7.246,-0.23155,16.0
0.65378,5.2166,-1.7979,16.0
0.14982,3.2961,-1.1169,16.0
0.65378,2.5334,0.10896,16.0
0.92618,3.2961,-0.38137,16.0
0.61292,4.6037,-0.10896,16.0
0.57205,7.246,0.95342,16.0
0.57205,11.373,1.7298,16.0
0.76274,16.317,2.4925,16.0
1.076,16.167,1.7979,16.0
-0.53119,15.432,2.7922,16.0
-3.2144,16.208,4.2904,16.0
-0.27241,12.912,1.2667,16.0
-0.99429,15.132,1.6481,16.0
-1.1441,12.449,0.19068,16.0
-0.10896,9.1529,0.10896,16.0
1.3757,8.1586,0.040861,16.0
2.8739,8.0496,-1.076,16.0
3.909,8.9213,-1.8387,16.0
4.3994,10.311,-2.0703,16.0
3.3778,9.3436,-2.6832,16.0
1.1169,7.8589,-1.1169,16.0
0.10896,6.851,1.5663,16.0
1.1441,6.17,1.6481,16.0
1.8796,6.4697,0.57205,16.0
1.0351,7.3141,0.57205,16.0
0.19068,7.8589,0.88532,16.0
-0.27241,8.54,0.42223,16.0
-0.65378,9.5342,-0.34051,16.0
-1.5255,10.61,-0.34051,16.0
-2.4517,11.836,0.27241,16.0
-1.757,12.49,3.6775,16.0
1.076,13.866,10.501,16.0
-0.46309,13.103,2.7922,16.0
0.31327,12.108,-1.2258,16.0
2.152,10.569,-1.6072,16.0
0.46309,10.079,-0.65378,16.0
-2.7241,11.918,11.918,17.0
-4.7126,13.716,13.716,17.0
-5.8976,15.091,15.091,17.0
-6.2109,17.08,17.08,17.0
-4.7944,13.525,13.525,17.0
-2.3699,8.8124,8.8124,17.0
-0.95342,7.8181,7.8181,17.0
0.50395,8.6217,8.6217,17.0
1.8387,10.379,10.379,17.0
1.1441,10.951,10.951,17.0
0.040861,8.2403,8.2403,17.0
-0.57205,5.9793,5.9793,17.0
-1.1169,5.6661,5.6661,17.0
-1.4165,5.4073,5.4073,17.0
-1.9477,6.2109,6.2109,17.0
-2.3427,7.2052,7.2052,17.0
-2.3018,7.5048,7.5048,17.0
-2.1793,8.1177,8.1177,17.0
-2.9148,9.3844,9.3844,17.0
-8.0769,15.282,15.282,17.0
-11.032,15.636,15.636,17.0
-7.6546,11.754,11.754,17.0
-3.2553,9.112,9.112,17.0
-1.0351,9.1937,9.1937,17.0
-1.4574,9.8475,9.8475,17.0
-2.3018,10.529,10.529,17.0
-1.185,9.0439,9.0439,17.0
-6.7421,6.9328,6.9328,17.0
-5.3256,5.5571,5.5571,17.0
-2.9556,5.8976,5.8976,17.0
-1.2667,6.4697,6.4697,17.0
-0.61292,6.4697,6.4697,17.0
-2.9556,6.5105,6.5105,17.0
-4.8625,6.7829,6.7829,17.0
-5.5571,7.0145,7.0145,17.0
-5.0123,7.5865,7.5865,17.0
-4.6309,8.8941,8.8941,17.0
-5.0531,10.338,10.338,17.0
-6.2109,12.217,12.217,17.0
-7.6274,13.906,13.906,17.0
-6.7012,14.329,14.329,17.0
-3.5277,12.177,12.177,17.0
-1.8387,9.4253,9.4253,17.0
-0.76274,9.003,9.003,17.0
-0.38137,9.9973,9.9973,17.0
-1.7298,9.9156,9.9156,17.0
-3.7865,8.4991,8.4991,17.0
-3.9771,6.9328,6.9328,17.0
-3.4051,5.6661,5.6661,17.0
-2.8739,5.2438,5.2438,17.0
-2.4108,5.7069,5.7069,17.0
-2.4925,6.4016,6.4016,17.0
-2.7513,7.6683,7.6683,17.0
-3.4459,8.3901,8.3901,17.0
-4.5628,8.6625,8.6625,17.0
-5.9793,10.27,10.27,17.0
-6.2381,12.34,12.34,17.0
-5.5571,14.206,14.206,17.0
-5.2847,14.329,14.329,17.0
-5.0531,10.992,10.992,17.0
-3.909,7.8589,7.8589,17.0
-2.4517,6.6604,6.6604,17.0
-1.9477,6.851,6.851,17.0
-2.261,7.8589,7.8589,17.0
-3.4051,8.0769,8.0769,17.0
-5.4754,6.7012,6.7012,17.0
0.081722,7.8589,-1.757,8.0
0.19068,8.3493,-1.4574,8.0
0.081722,8.9213,-0.76274,8.0
-0.38137,9.507,-0.081722,8.0
-0.91256,9.7249,0.23155,8.0
-1.2258,10.12,-0.23155,8.0
-1.4574,10.42,-1.1169,8.0
-1.8796,10.692,-1.3348,8.0
-1.757,12.027,-0.42223,8.0
-0.65378,13.103,0.27241,8.0
0.19068,12.681,-0.38137,8.0
0.42223,10.801,-2.8739,8.0
0.65378,8.7715,-5.0531,8.0
1.7298,7.8862,-4.7126,8.0
2.6423,8.6625,-3.6775,8.0
1.076,10.338,-2.261,8.0
-0.27241,10.501,-1.185,8.0
-0.84446,9.7658,-1.1441,8.0
-0.23155,8.6217,-1.7298,8.0
0.46309,7.8181,-1.8796,8.0
0.23155,7.8589,-1.2667,8.0
-0.040861,8.0496,-0.88532,8.0
-0.34051,8.2812,-1.0351,8.0
-0.50395,8.7715,-1.3757,8.0
-0.29965,9.4661,-0.69464,8.0
-0.38137,10.038,0.081722,8.0
-0.23155,10.692,-0.10896,8.0
-0.23155,11.182,-0.72188,8.0
-0.57205,11.496,-0.84446,8.0
-0.88532,12.177,-0.76274,8.0
-0.72188,12.299,-2.0703,8.0
-0.50395,11.686,-3.7592,8.0
-0.46309,10.27,-3.1735,8.0
-0.50395,8.4991,-3.4459,8.0
-0.76274,7.7772,-4.0589,8.0
-0.84446,8.3493,-4.0589,8.0
-0.46309,9.4253,-3.1735,8.0
-0.0,9.8884,-2.4925,8.0
0.42223,9.3844,-2.3018,8.0
0.46309,8.6898,-1.757,8.0
0.34051,8.1995,-1.4982,8.0
0.23155,7.8862,-1.4982,8.0
0.081722,8.0088,-1.4574,8.0
0.10896,8.2403,-1.1441,8.0
-0.0,8.5808,-1.2258,8.0
-0.38137,8.9213,-1.2667,8.0
-0.99429,9.1937,-0.91256,8.0
-1.3757,9.5751,-0.23155,8.0
-1.0351,10.501,-0.53119,8.0
-1.076,11.264,-1.2258,8.0
-0.8036,13.184,-0.34051,8.0
-1.076,12.49,-0.69464,8.0
0.10896,9.1937,-4.7126,8.0
0.92618,7.8181,-1.4165,8.0
0.53119,7.927,-0.99429,8.0
-0.23155,8.4991,-0.53119,8.0
-0.57205,8.9622,-0.27241,8.0
-1.4165,5.4345,0.65378,17.0
-1.6481,6.0202,1.9886,17.0
-1.9477,5.9793,2.4925,17.0
-1.9205,5.5571,2.3018,17.0
-2.0294,5.6252,1.6072,17.0
-2.3018,6.0474,0.99429,17.0
-2.5606,5.7478,0.8036,17.0
-2.8739,5.6661,1.4982,17.0
-2.8739,6.3198,1.8387,17.0
-2.3699,6.4697,0.31327,17.0
-2.4517,6.7829,-0.19068,17.0
-2.4517,7.2052,0.081722,17.0
-2.4517,5.9793,0.19068,17.0
-2.0703,5.2847,0.61292,17.0
-1.3076,4.2495,0.76274,17.0
-2.4925,3.7865,0.84446,17.0
-3.7184,7.2052,1.7298,17.0
-3.5277,9.6568,1.6481,17.0
-2.6832,11.496,1.5391,17.0
-2.4517,14.369,1.8387,17.0
-2.1112,15.514,2.0294,17.0
-2.8739,11.754,2.3018,17.0
-1.8796,8.5808,2.5334,17.0
0.19068,8.6898,2.4925,17.0
-0.42223,10.924,1.9477,17.0
-1.076,11.182,1.7979,17.0
-0.57205,9.5751,2.8739,17.0
0.53119,8.1995,2.7241,17.0
1.076,7.1643,1.9886,17.0
0.19068,6.4424,1.4165,17.0
-0.38137,6.0474,-0.040861,17.0
0.42223,11.564,-1.4982,17.0
0.23155,13.484,-1.9886,17.0
-0.27241,14.369,-2.4108,17.0
0.23155,12.449,-1.9886,17.0
-0.29965,9.2755,0.19068,17.0
-0.65378,7.5048,2.7922,17.0
0.61292,8.431,2.7649,17.0
0.99429,8.1586,1.0351,17.0
0.31327,7.6274,-0.27241,17.0
0.42223,7.5457,-0.38137,17.0
1.1169,8.1995,0.88532,17.0
0.57205,7.6274,1.7979,17.0
0.46309,6.9736,1.8387,17.0
0.72188,6.851,1.757,17.0
0.38137,6.7012,1.2667,17.0
0.10896,6.7012,1.076,17.0
0.61292,7.0826,1.8387,17.0
0.46309,8.2403,2.8739,17.0
0.53119,9.5751,1.3348,17.0
0.34051,10.883,-1.1441,17.0
0.34051,12.34,-1.185,17.0
-0.42223,13.825,-0.34051,17.0
-0.72188,13.566,0.84446,17.0
-2.1112,4.9033,-0.99429,17.0
-3.7184,11.346,2.1112,21.0
-5.5571,11.959,1.0351,21.0
-5.3256,12.449,-2.261,21.0
-3.1054,11.182,-2.8739,21.0
-2.261,8.7715,-2.1384,21.0
-3.5277,8.3084,-2.7241,21.0
-4.4811,9.2755,-3.4459,21.0
-3.9771,9.6977,-3.1735,21.0
-1.9477,9.112,-2.5334,21.0
-0.29965,8.1995,-2.0703,21.0
-0.53119,7.464,-0.081722,21.0
-1.9886,7.0553,0.46309,21.0
-3.9771,6.9736,-0.88532,21.0
-4.1406,8.7306,0.14982,21.0
-3.7184,8.9213,-0.42223,21.0
-4.1406,9.3027,-0.76274,21.0
-4.3313,10.038,-0.42223,21.0
-4.0997,10.311,0.38137,21.0
-4.4402,11.141,0.65378,21.0
-4.1814,12.721,-1.6481,21.0
-1.3076,11.346,-2.1112,21.0
1.0351,9.5751,-2.1384,21.0
2.2201,9.9973,-2.6423,21.0
2.6015,11.264,-2.1384,21.0
-0.50395,10.842,-0.84446,21.0
-3.0237,8.8941,-2.261,21.0
-5.3256,7.2052,-1.6481,21.0
-5.4345,6.2109,0.88532,21.0
-2.0294,6.4016,0.95342,21.0
-0.84446,6.7012,0.10896,21.0
-0.42223,7.0826,-0.19068,21.0
-0.69464,7.8181,-0.27241,21.0
-2.0703,8.3493,0.27241,21.0
-3.1054,8.9213,1.0351,21.0
-3.4051,9.5751,1.0351,21.0
-3.337,10.379,0.14982,21.0
-2.8739,11.114,-0.29965,21.0
-3.4868,10.883,0.8036,21.0
-5.5162,11.373,1.6889,21.0
-6.279,12.299,-0.76274,21.0
-4.1406,12.149,-3.1463,21.0
-2.0294,9.9973,-2.3699,21.0
-2.5334,8.6625,-2.6423,21.0
-3.909,8.4991,-3.4051,21.0
-4.9033,8.9213,-3.5277,21.0
-3.6775,8.8532,-2.9556,21.0
-1.4574,8.3901,-2.5606,21.0
0.19068,7.9679,-1.5663,21.0
0.31327,8.2403,1.9886,21.0
-1.4165,7.1234,-0.081722,21.0
-3.4051,6.0474,-1.7979,21.0
-0.95342,5.9793,7.5865,21.0
-0.53119,7.1234,6.4424,21.0
-0.50395,7.1643,6.5105,21.0
-0.50395,7.2052,6.4697,21.0
-0.53119,7.1643,6.4424,21.0
-0.50395,7.1643,6.4697,21.0
-0.53119,7.1234,6.6604,21.0
-0.50395,7.0826,6.5922,21.0
-0.50395,7.1234,6.4697,21.0
-0.53119,7.1643,6.4697,21.0
-0.57205,7.0553,6.7421,21.0
-0.46309,6.9736,6.9328,21.0
-0.34051,7.246,6.7421,21.0
-0.42223,6.7829,6.6604,21.0
-0.50395,6.5514,6.6331,21.0
-0.65378,7.0145,6.851,21.0
-0.42223,6.6604,6.8919,21.0
0.14982,5.1757,7.6274,21.0
-0.10896,6.7012,7.3958,21.0
-0.081722,7.464,7.1234,21.0
-0.081722,6.5922,6.9328,21.0
-0.10896,6.9736,6.8238,21.0
-0.34051,7.2733,7.3958,21.0
-0.10896,6.0202,6.9328,21.0
-0.081722,6.0202,6.8238,21.0
0.38137,6.2109,6.8919,21.0
0.46309,6.7829,7.8181,21.0
-0.10896,6.7829,6.9328,21.0
-0.53119,7.3141,6.0202,21.0
-0.29965,7.3141,7.1643,21.0
0.8036,6.4697,7.8862,21.0
0.53119,6.3607,7.0145,21.0
-0.19068,5.3256,6.3607,21.0
-0.29965,6.8919,6.5514,21.0
-1.6481,8.431,6.7829,21.0
-1.8387,7.8862,6.5922,21.0
-1.757,7.3958,6.6331,21.0
-1.4982,6.9328,6.0474,21.0
-1.3757,6.5922,6.6331,21.0
-1.2258,6.8238,6.6331,21.0
-1.185,6.8238,6.279,21.0
-1.2258,6.8919,6.0883,21.0
-1.3348,7.2052,6.2381,21.0
-1.1169,6.8238,6.279,21.0
-0.99429,6.7421,6.8919,21.0
-0.76274,6.5514,7.3958,21.0
-1.2258,6.4016,6.851,21.0
-0.99429,5.6252,7.464,21.0
-1.7298,7.464,6.1292,21.0
-1.0351,6.6331,7.5048,21.0
-0.99429,3.4868,0.19068,16.0
-0.14982,4.0589,-0.29965,16.0
-0.42223,4.985,0.27241,16.0
-4.018,6.4016,2.2201,16.0
-7.6546,8.7306,-0.29965,16.0
-9.1937,12.367,-0.84446,16.0
-7.7772,12.912,1.3757,16.0
-9.3027,11.182,1.2258,16.0
-12.34,9.8475,-4.5901,16.0
-8.8532,10.801,-4.6718,16.0
-6.0202,9.616,-5.6252,16.0
-7.927,9.6977,-5.3256,16.0
-9.2755,10.569,-3.3642,16.0
-5.094,10.188,0.19068,16.0
-1.4982,7.7772,4.0589,16.0
-2.7513,4.0997,0.95342,16.0
-1.9477,1.4574,-0.99429,16.0
-0.84446,-0.19068,-1.185,16.0
-1.8387,-0.19068,-1.0351,16.0
-3.9499,2.5334,-0.34051,16.0
-4.8216,7.8862,2.9148,16.0
-9.4934,15.405,2.4108,16.0
-10.719,14.901,-2.5334,16.0
-8.2403,10.924,-0.19068,16.0
-8.0769,10.229,1.185,16.0
-8.9213,14.097,-2.5334,16.0
-3.2961,12.953,-3.1054,16.0
0.8036,13.212,-5.598,16.0
0.95342,14.819,-6.2381,16.0
-1.4574,13.021,-1.7979,16.0
-6.2109,9.507,-0.29965,16.0
-8.6898,2.5606,3.3778,16.0
-6.3198,-1.6072,2.6832,16.0
-2.5334,-0.34051,0.31327,16.0
-0.0,1.4982,0.081722,16.0
1.0351,3.4459,-0.14982,16.0
-0.29965,5.9793,-0.29965,16.0
-6.7421,9.0439,1.9477,16.0
-12.531,15.323,-1.757,16.0
-9.8066,14.601,1.2667,16.0
-9.5342,12.108,1.5663,16.0
-12.558,11.032,-5.0531,16.0
-7.5048,10.038,-4.8625,16.0
-3.9499,8.4991,-5.3256,16.0
-6.6331,9.1529,-6.3607,16.0
-10.719,10.733,-3.3642,16.0
-7.464,9.8475,-1.5255,16.0
-1.9205,7.0826,0.38137,16.0
-0.53119,5.2847,2.6832,16.0
-2.261,3.4051,0.95342,16.0
-2.3427,1.8796,-0.61292,16.0
-1.8387,0.95342,-0.88532,16.0
-1.7979,11.645,-1.4982,16.0
-1.7979,9.5342,-1.4982,16.0
-1.3076,6.7421,-2.261,16.0
-1.5663,5.8567,-3.1463,16.0
-1.076,7.6955,-4.1814,16.0
-0.23155,10.229,-4.0997,16.0
0.19068,10.529,-2.4108,16.0
-0.29965,9.112,0.14982,16.0
-1.4574,7.927,0.99429,16.0
-1.3757,7.1643,-0.99429,16.0
-0.88532,7.2733,-2.6423,16.0
-0.69464,7.8589,-3.1463,16.0
-0.53119,9.003,-2.3018,16.0
-0.53119,10.147,-1.1169,16.0
-0.38137,10.147,-0.61292,16.0
-0.69464,9.9565,-1.3757,16.0
-1.1169,10.61,-2.3699,16.0
-1.3757,11.686,-2.6423,16.0
-1.185,12.027,-2.1384,16.0
-0.88532,12.912,-1.6481,16.0
-0.65378,12.79,-2.1793,16.0
-0.10896,11.686,-2.7513,16.0
1.2667,10.379,-3.4459,16.0
2.4108,8.3901,-4.2904,16.0
1.9205,6.8919,-3.909,16.0
1.757,7.0145,-2.7241,16.0
1.4982,8.1995,-2.0703,16.0
0.23155,9.3436,-1.9477,16.0
-0.76274,9.4661,-1.9205,16.0
-0.27241,8.6625,-1.6072,16.0
0.46309,8.1995,-1.185,16.0
0.95342,8.431,-1.1441,16.0
0.57205,8.54,-0.99429,16.0
-0.081722,8.3084,-0.84446,16.0
-0.14982,8.0496,-0.72188,16.0
0.081722,8.1177,-0.50395,16.0
0.31327,8.4719,-0.42223,16.0
0.38137,8.7306,-0.69464,16.0
0.19068,9.3436,-1.076,16.0
-0.0,10.883,-0.91256,16.0
0.38137,12.217,-0.72188,16.0
0.23155,11.645,-0.76274,16.0
-0.61292,11.836,-0.69464,16.0
-0.23155,12.408,-1.5255,16.0
0.46309,12.34,-2.833,16.0
-0.50395,12.762,-2.5606,16.0
-1.3076,11.605,-1.9205,16.0
-1.0351,8.3493,-2.261,16.0
-3.5277,7.7772,-0.72188,21.0
-3.4459,9.1937,0.10896,21.0
-3.2553,9.7658,0.50395,21.0
-3.2961,9.2755,0.14982,21.0
-3.7865,9.4253,-0.46309,21.0
-4.2904,9.9973,-0.34051,21.0
-3.909,10.27,0.040861,21.0
-3.2553,10.883,0.34051,21.0
-3.2553,12.912,-0.29965,21.0
-1.6889,12.408,-2.1793,21.0
-0.0,10.079,-2.9829,21.0
0.46309,9.2755,-3.5277,21.0
0.57205,9.8475,-3.6366,21.0
-0.91256,10.529,-0.61292,21.0
-2.7922,9.7249,-0.57205,21.0
-3.2553,7.8181,-2.4925,21.0
-3.5958,7.355,-1.2258,21.0
-2.4925,7.5457,0.42223,21.0
-1.4165,7.4367,0.27241,21.0
-1.3757,7.246,-0.19068,21.0
-1.8387,7.0826,-0.29965,21.0
-2.7922,7.464,0.27241,21.0
-2.9829,8.1177,0.69464,21.0
-2.7513,9.1529,0.31327,21.0
-2.4517,10.079,-0.42223,21.0
-2.3427,10.569,-0.38137,21.0
-2.833,10.61,0.34051,21.0
-4.3313,11.373,1.2258,21.0
-5.9385,11.959,-0.42223,21.0
-5.4754,12.177,-2.9148,21.0
-3.4051,11.373,-3.4459,21.0
-2.1384,9.0439,-3.2961,21.0
-2.9148,7.7364,-3.337,21.0
-4.0589,8.6625,-3.6366,21.0
-3.5685,9.616,-3.8273,21.0
-1.6481,9.4253,-3.6366,21.0
-0.10896,8.7306,-2.4925,21.0
-0.38137,8.2812,0.23155,21.0
-1.8387,7.2733,-0.61292,21.0
-3.1735,6.1292,-2.0703,21.0
-4.1814,6.4697,-1.185,21.0
-3.4868,7.7772,-0.53119,21.0
-2.3699,8.5808,-0.76274,21.0
-2.4925,8.6898,-0.57205,21.0
-3.4051,9.003,-0.88532,21.0
-4.1406,9.7658,-1.1441,21.0
-4.3994,10.379,-1.0351,21.0
-4.522,10.27,0.23155,21.0
-5.1757,10.842,0.8036,21.0
-0.46309,9.8475,-0.19068,19.0
-1.1169,10.46,0.081722,19.0
-1.9205,10.951,-1.9477,19.0
-0.76274,12.027,-2.833,19.0
0.38137,13.716,0.42223,19.0
-2.833,14.901,-2.4925,19.0
-2.2201,12.449,-4.2904,19.0
-0.50395,8.9622,-3.1735,19.0
-1.4165,8.54,-4.1406,19.0
-1.757,11.496,-4.6309,19.0
-0.29965,11.754,-3.6366,19.0
0.69464,9.8066,-1.4574,19.0
0.040861,7.5865,0.14982,19.0
-1.0351,5.2847,-0.040861,19.0
-1.6889,3.7865,-1.2667,19.0
-1.2258,4.522,-2.3699,19.0
-0.10896,7.1234,-2.5606,19.0
0.42223,9.6568,-1.2258,19.0
-0.72188,11.223,0.34051,19.0
-1.6889,10.733,0.040861,19.0
-0.95342,11.496,-1.2258,19.0
-0.8036,13.866,-1.8796,19.0
-1.5663,14.438,-1.8796,19.0
0.23155,14.138,-2.9148,19.0
2.5606,12.027,-4.2904,19.0
3.2553,8.1586,-4.9033,19.0
3.3778,8.7715,-5.1757,19.0
3.0646,10.992,-4.1814,19.0
-0.0,10.992,-1.1169,19.0
-1.5255,8.1177,-1.9205,19.0
-1.6481,5.8567,-2.0294,19.0
-0.8036,4.985,-0.72188,19.0
0.61292,5.1757,-0.50395,19.0
1.0351,6.2109,-0.76274,19.0
0.46309,7.355,-0.57205,19.0
-0.38137,8.8532,0.10896,19.0
-1.1169,10.338,-0.14982,19.0
-1.7979,11.373,-0.76274,19.0
-1.9886,12.871,-2.0703,19.0
-0.50395,14.206,-0.081722,19.0
-1.8796,14.982,-0.10896,19.0
-3.3642,13.334,-4.4402,19.0
-1.2258,10.038,-3.909,19.0
-1.1169,8.4719,-3.4459,19.0
-2.1384,9.7658,-4.7944,19.0
-1.3757,11.686,-3.7184,19.0
0.27241,11.114,-2.1384,19.0
0.040861,8.8532,-0.0,19.0
-0.95342,6.0883,0.14982,19.0
-1.2667,4.2495,-0.69464,19.0
-1.2258,4.0997,-1.4165,19.0
-0.95342,5.6661,-1.9205,19.0
-1.1169,8.0088,-1.5663,19.0
-1.4982,10.038,-0.19068,19.0
-1.1169,10.501,-0.14982,19.0
-0.53119,11.373,-1.1169,19.0
-0.27241,14.628,-1.3757,19.0
-1.2258,14.71,-0.95342,19.0
-1.2667,13.906,-0.8036,19.0
1.5391,12.762,-2.6423,19.0
3.2961,9.1937,-5.0531,19.0
3.4868,8.54,-5.598,19.0
-2.1384,9.616,-0.53119,17.0
-3.337,7.7364,-0.61292,17.0
-2.833,6.3198,-0.76274,17.0
-2.3018,6.2381,-0.91256,17.0
-2.1384,6.4697,-1.6072,17.0
-2.7513,6.6331,-1.757,17.0
-2.8739,6.4016,-2.3427,17.0
-3.2144,6.0883,-2.9829,17.0
-3.7184,6.6331,-2.6423,17.0
-4.0589,7.3958,-1.3076,17.0
-6.279,8.2812,3.2144,17.0
-8.1177,9.3844,4.018,17.0
-8.7715,10.501,-0.42223,17.0
-9.4661,12.149,-1.3076,17.0
-7.8862,12.49,-1.757,17.0
-5.3256,11.455,-3.909,17.0
-2.3018,8.5808,-4.6309,17.0
-1.6072,6.6604,-2.0294,17.0
-1.9477,7.0826,-5.9385,17.0
-2.9148,8.4719,-6.2109,17.0
-4.1406,8.3901,-5.203,17.0
-4.8625,7.0826,0.53119,17.0
-3.5685,6.3198,2.4925,17.0
-3.4051,6.0202,0.34051,17.0
-3.4459,6.5514,-0.88532,17.0
